                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    119,                 1.8918,                 1.1722,                0.91455,                0.49607,                0.61017,                0.56828,                0.22351,                 2.1294,                 1.2642,                0.99164,              0.0012212,              0.0012212,              0.0012212
                    120,                  1.894,                 1.1714,                0.90706,                0.56235,                 0.5445,                0.56821,                0.22841,                 2.1886,                 1.2274,                  1.026,              0.0012146,              0.0012146,              0.0012146
                    121,                 1.8875,                 1.1722,                0.90128,                0.49591,                0.50847,                0.56933,                0.19639,                 2.3646,                 1.3872,                 1.0689,               0.001208,               0.001208,               0.001208
                    122,                 1.8719,                 1.1215,                0.89623,                 0.6887,                0.47458,                0.60975,                0.21114,                 2.2977,                 1.3658,                 1.0434,              0.0012014,              0.0012014,              0.0012014
                    123,                 1.8599,                 1.2088,                0.90104,                 0.5468,                0.64407,                0.58365,                0.22348,                 2.1798,                 1.3166,                 1.0202,              0.0011948,              0.0011948,              0.0011948
                    124,                 1.8519,                 1.1333,                0.89662,                0.54994,                0.64206,                0.59763,                0.20926,                 2.2153,                 1.3494,                  1.025,              0.0011882,              0.0011882,              0.0011882
                    125,                 1.7561,                 1.0986,                 0.8869,                0.60195,                0.62712,                0.61722,                0.20588,                 2.1622,                 1.3989,                 1.0189,              0.0011816,              0.0011816,              0.0011816
                    126,                 1.8554,                 1.1149,                0.89246,                0.70946,                0.57949,                 0.6523,                0.19885,                 2.2384,                 1.2884,                 1.0473,               0.001175,               0.001175,               0.001175
                    127,                 1.8819,                 1.1651,                0.89828,                 0.7112,                0.62611,                0.65188,                0.20261,                  2.302,                 1.2686,                 1.0547,              0.0011684,              0.0011684,              0.0011684
                    128,                 1.8317,                 1.1024,                0.88383,                0.62264,                0.67797,                0.62675,                0.21104,                 2.3152,                 1.2589,                 1.0641,              0.0011618,              0.0011618,              0.0011618
                    129,                 1.8743,                 1.1468,                0.89062,                0.70819,                0.59322,                0.63528,                0.23094,                 2.2442,                 1.3324,                 1.0468,              0.0011552,              0.0011552,              0.0011552
                    130,                 1.7602,                 1.0702,                0.89562,                0.60229,                0.71186,                   0.63,                0.22972,                 2.1792,                 1.3759,                  1.024,              0.0011486,              0.0011486,              0.0011486
                    131,                 1.8142,                 1.0958,                0.89298,                0.64081,                0.66102,                0.63268,                0.25268,                 2.1851,                 1.2603,                 1.0305,               0.001142,               0.001142,               0.001142
                    132,                 1.7513,                 1.1054,                0.88928,                0.56067,                0.69221,                0.62377,                 0.2556,                 2.1408,                 1.1851,                 1.0212,              0.0011354,              0.0011354,              0.0011354
                    133,                 1.8217,                  1.107,                0.89586,                0.54803,                0.66102,                0.57414,                0.22591,                 2.1553,                 1.2886,                 1.0196,              0.0011288,              0.0011288,              0.0011288
                    134,                 1.8472,                 1.1638,                0.88547,                0.60782,                0.62712,                0.60766,                0.23509,                 2.1451,                 1.2559,                 1.0257,              0.0011222,              0.0011222,              0.0011222
                    135,                 1.8488,                 1.1232,                0.88904,                 0.5373,                0.62712,                0.54845,                0.22009,                 2.0794,                 1.3261,                 1.0059,              0.0011156,              0.0011156,              0.0011156
